"","Codigo","Sexo","Escuela","Grado","Grupo","EscuelaGradoGrupo","Calificacin","Tareas","LentoXRastreador","Conteo1P","Conteo2P","Conteo3P","ConteoT","Target","Validacin","NumEntrenamientos","ConteoCorrecto","ConteocorrectoyTarget","ConteoCorrecto1213","ConteocorrectoyTarget1213","Niveldeactividad","SonrisayRisa","Placeraltaintensidad","Impulsividad","Aprox","Timidez","Miedo","Malestar","Tristeza","Frustracin","Autotranquilizacion","controlInhibitorio","Placerbajaintensidad","Sensibilidadperceptual","Atencionfoc","distractibilidad","conjuntoatencion","ControlEsforzadocondistractibilidad","AfectoNegativo","ExtraversinSurgency","CESindistractibilidad","Alerta","Orientacion","Conflicto","CEAltosBajos","ANAltosBajos","SurgencyAltosBajos","CESindistracAltosBajos","CEsuperaltosbajos","ANsuperaltosbajos","Sugencysuperaltosbajos","CEsindistracsuperaltosbajos","AlertaAltosBajos","OrientacionAltosBajos","ConflictoAltosNajos","Perfiles","PerfilessinDistractibilidad","NiveldeactividadALTOSBAJOS","SonrisayRisaALTOSBAJOS","PlaceraltaintensidadALTOSBAJOS","ImpulsividadALTOSBAJOS","AproxALTOSBAJOS","TimidezALTOSBAJOS","MiedoALTOSBAJOS","MalestarALTOSBAJOS","TristezaALTOSBAJOS","FrustracinALTOSBAJOS","AutotranquilizacionALTOSBAJOS","controlInhibitorioALTOSBAJOS","PlacerbajaintensidadALTOSBAJOS","SensibilidadperceptualALTOSBAJOS","AtencionfocALTOSBAJOS","distractibilidadALTOSBAJOS","conjuntoatencionALTOSBAJOS","ANT_percentcorrect"
"195",320,"1",4,2,13,"4.2A",9.7,"COMPLETO","",9,NA,NA,12,1,NA,1,1,1,1,1,3.42,6,5.08,4.38,5.85,2.31,2.83,2.17,2.75,2.46,5.38,6.31,5.09,6.33,6.5,5.6,6.15,5.966386946,3.119230769,4.50534188,6.057983683,23.5,126.5,106,1,0,0,1,1,0,NA,1,0,1,1,2,2,0,1,1,0,1,0,0,0,0,0,1,1,1,1,1,1,1,98.61
"196",321,"1",4,2,13,"4.2A",8.9,"COMPLETO","",9,NA,NA,13,1,NA,1,1,1,1,1,3.69,5.46,4.5,4.46,6,2.08,4.6,4.45,4,4.85,3.92,4.23,6,6,4.5,3.8,4.23,4.906153846,4.363473193,4.365384615,5.182692308,-88.5,-71,87.5,1,1,0,1,NA,NA,0,1,0,0,0,3,3,0,1,0,1,1,0,1,1,0,1,0,0,1,1,0,0,0,93.75
"197",322,"1",4,2,13,"4.2A",9.4,"COMPLETO","",12,9,NA,13,1,NA,2,1,1,1,1,3.77,4.69,5.18,4.31,4.77,3,3.42,3.73,3.82,3.23,4.69,5.85,4.83,4.92,4.63,5,4.77,5.044230769,3.777039627,4.286713287,5.055288462,86.5,4,78,1,0,0,1,1,0,0,1,1,0,0,2,2,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,1,95.83
"198",326,"0",4,2,13,"4.2A",9.1,"COMPLETO","",6,7,NA,10,1,NA,2,0,0,0,0,5,4.15,5,5.5,6.42,3.31,2.67,2.58,3.08,3.62,4.58,5.17,3.27,5.7,4.13,5.8,4.77,4.812878788,3.306410256,4.896367521,4.566098485,70,41,72.5,1,0,1,0,NA,0,1,NA,1,0,0,2,0,1,0,1,1,1,0,0,0,0,0,0,1,0,1,0,1,1,96.53
"199",329,"1",4,2,13,"4.2A",9.4,"COMPLETO","",20,10,NA,13,0,1,2,1,0,1,0,4.08,5,4.69,4.15,5.15,4.31,3.75,5.17,2.67,4.46,4.46,5.31,5,5.5,3.63,3.8,3.69,4.646538462,4.101282051,4.564102564,4.858173077,17,45,185,0,0,1,1,NA,0,NA,NA,0,1,1,0,2,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,95.83
"200",332,"1",4,2,13,"4.2A",9.2,"COMPLETO","",7,NA,NA,14,1,NA,1,1,1,0,0,5.31,5,4.85,5.54,5.92,1.46,4.92,3.25,4.17,5.58,3.62,3.38,5.15,4.67,3.25,3.2,3.23,3.931025641,4.306410256,4.679487179,4.113782051,44.5,9,102,0,0,1,0,0,NA,NA,0,0,0,1,0,0,1,1,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,84.03
"201",334,"0",4,2,14,"4.2B",8.9,"COMPLETO","",6,7,NA,12,1,NA,2,1,1,1,1,4.77,3.92,4.15,4.62,5.23,4.08,3.75,4.83,5.17,5.85,4.46,4.15,4.38,6.08,4.88,3.6,4.38,4.619358974,4.811538462,4.461538462,4.874198718,-2.5,71.5,5.5,0,1,0,1,NA,1,NA,NA,0,1,0,1,3,1,0,0,1,0,1,0,1,1,1,0,0,0,1,1,0,0,94.44
"202",337,"0",4,2,14,"4.2B",9.3,"COMPLETO","",9,NA,NA,12,0,1,1,1,0,1,0,5.77,5.77,5.23,4.77,5.77,2.38,3.58,3.75,4.08,5.08,4.15,4,4.92,5,4.25,4.2,4.23,4.474615385,4.129487179,4.948717949,4.543269231,188,70,97,0,0,1,0,NA,NA,1,0,1,1,1,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,89.58
"203",339,"1",4,2,14,"4.2B",9.2,"COMPLETO","",9,NA,NA,10,1,NA,1,0,0,0,0,4.31,5.46,4.23,4.15,6,4.23,5.33,3.42,4.17,5.38,4.08,5,4.85,5.67,4.5,3.8,4.23,4.762564103,4.476923077,4.730769231,5.003205128,10.5,15,121,1,1,1,1,NA,NA,NA,NA,0,0,1,3,3,0,1,0,0,1,1,1,0,0,1,0,1,0,1,0,0,0,99.31
"204",340,"1",4,2,14,"4.2B",8.7,"COMPLETO","",4,9,NA,11,1,NA,2,1,1,0,0,5.38,6,6,5.08,6.23,3.46,4.42,3.92,4,5.69,5.15,4.15,5.54,3.64,2.38,5.4,3.54,4.220734266,4.635897436,5.358974359,3.925917832,80.5,64,-13,0,1,1,0,0,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,0,0,1,1,0,1,0,0,1,0,91.67
"205",343,"1",4,2,14,"4.2B",9.8,"COMPLETO","",9,NA,NA,13,1,NA,1,1,1,1,1,4.5,4.23,5.58,4.92,5.08,3.25,3.2,4.64,3.5,5.31,4.83,5.15,5.55,4.83,5.63,4.4,5.15,5.111526807,4.295477855,4.594017094,5.289408508,93,72.5,148,1,0,1,1,1,NA,NA,1,1,1,1,2,2,0,0,1,1,0,0,0,1,0,1,1,1,1,0,1,0,1,98.61
"206",344,"1",5,2,15,"5.2",10,"Falta Gorila y ANT","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.54,5,5.46,3.92,6.38,5.31,3.67,4.5,4.33,4.08,4.33,6,5,5.08,5.5,2.2,4.23,4.756666667,4.182051282,5.102564103,5.395833333,NA,NA,NA,1,0,1,1,NA,NA,1,1,NA,NA,NA,2,2,0,1,1,0,1,1,0,1,1,0,0,1,0,1,1,0,0,NA
"207",346,"1",5,2,15,"5.2",8.7,"Falta Gorila","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.08,3.85,6.15,5.54,6.2,1.31,2,3,4.5,4.42,5.17,2.54,5.23,5.17,3.33,3,3.21,3.853846154,3.816666667,4.853846154,4.067307692,45,92,90,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,1,1,0,0,0,1,1,1,0,1,1,0,0,0,87.5
"208",348,"1",5,2,15,"5.2",8.3,"Falta Gorila","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.5,4.85,4.54,4.77,5,2.62,4.67,3.92,3.08,3.08,5.38,4.77,5.62,4.42,4.44,5,4.64,4.849145299,4.026923077,4.544871795,4.811431624,71,-53.5,219.5,1,0,0,0,NA,0,NA,NA,1,0,1,2,0,1,0,0,1,0,0,1,0,0,0,1,1,1,0,0,1,1,71.53
"209",349,"1",5,2,15,"5.2",8.8,"COMPLETO","",9,NA,NA,11,1,NA,1,1,1,0,0,5.23,5.08,5.92,5.15,5.25,3,4.58,3.58,3.33,3,5.31,4.85,5.31,5.25,4.22,5,4.5,4.925213675,3.961538462,4.939102564,4.906517094,-30,149,190.5,1,0,1,1,NA,0,1,NA,0,1,1,2,2,1,1,1,1,0,0,1,0,0,0,1,1,1,1,0,1,1,86.81
"210",350,"1",5,2,15,"5.2",7.1,"Falta Gorila","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3.92,5.22,3.57,5,4,3.5,4.4,4.9,4.82,4.36,3.83,4,4.11,4,3.8,3.92,3.948888889,4.396363636,4.28505291,3.986111111,69,138,-21.5,0,1,0,0,0,NA,0,0,1,1,0,1,1,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,52.08
"211",351,"0",5,2,15,"5.2",9.9,"COMPLETO","",8,NA,NA,12,1,NA,1,1,1,1,1,3.92,4.23,3.67,3.54,4.92,3.15,4.82,3.33,3.92,3.62,5.33,6.08,5.5,4.75,5.11,5.8,5.36,5.448888889,4.203379953,3.90491453,5.361111111,8.5,9.5,132.5,1,0,0,1,1,NA,0,1,0,0,1,2,2,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,1,1,97.22
"212",354,"1",5,2,15,"5.2",7.6,"COMPLETO","",4,8,NA,12,1,NA,2,1,1,1,1,3.54,4.77,5.15,3.85,4.08,4.92,4.67,4.33,4.5,4.62,3.77,4.08,4.62,3.92,3.56,4.2,3.79,4.072905983,4.376923077,4.384615385,4.041132479,81.5,55.5,277,0,1,0,0,0,NA,0,0,1,1,1,1,1,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,93.75
