"","Codigo","Sexo","Escuela","Grado","Grupo","EscuelaGradoGrupo","Calificacin","Tareas","LentoXRastreador","Conteo1P","Conteo2P","Conteo3P","ConteoT","Target","Validacin","NumEntrenamientos","ConteoCorrecto","ConteocorrectoyTarget","ConteoCorrecto1213","ConteocorrectoyTarget1213","Niveldeactividad","SonrisayRisa","Placeraltaintensidad","Impulsividad","Aprox","Timidez","Miedo","Malestar","Tristeza","Frustracin","Autotranquilizacion","controlInhibitorio","Placerbajaintensidad","Sensibilidadperceptual","Atencionfoc","distractibilidad","conjuntoatencion","ControlEsforzadocondistractibilidad","AfectoNegativo","ExtraversinSurgency","CESindistractibilidad","Alerta","Orientacion","Conflicto","CEAltosBajos","ANAltosBajos","SurgencyAltosBajos","CESindistracAltosBajos","CEsuperaltosbajos","ANsuperaltosbajos","Sugencysuperaltosbajos","CEsindistracsuperaltosbajos","AlertaAltosBajos","OrientacionAltosBajos","ConflictoAltosNajos","Perfiles","PerfilessinDistractibilidad","NiveldeactividadALTOSBAJOS","SonrisayRisaALTOSBAJOS","PlaceraltaintensidadALTOSBAJOS","ImpulsividadALTOSBAJOS","AproxALTOSBAJOS","TimidezALTOSBAJOS","MiedoALTOSBAJOS","MalestarALTOSBAJOS","TristezaALTOSBAJOS","FrustracinALTOSBAJOS","AutotranquilizacionALTOSBAJOS","controlInhibitorioALTOSBAJOS","PlacerbajaintensidadALTOSBAJOS","SensibilidadperceptualALTOSBAJOS","AtencionfocALTOSBAJOS","distractibilidadALTOSBAJOS","conjuntoatencionALTOSBAJOS","ANT_percentcorrect"
"158",272,"1",2,2,8,"2.2",9.4,"COMPLETO","",8,NA,NA,12,0,1,1,1,0,1,0,3.38,2.92,6.62,4.85,4.38,5.33,4.67,5.25,5.82,4.46,4,4.31,4.62,6.5,4.89,4.8,4.86,5.022393162,4.839277389,4.581196581,5.077991453,-19,-16,111.5,1,1,1,1,1,1,NA,1,0,0,1,3,3,0,0,1,1,0,1,1,1,1,1,0,0,0,1,1,1,1,94.44
"159",273,"1",3,0,9,"3.P",NA,"COMPLETO","",7,9,NA,12,1,NA,2,1,1,1,1,5.85,5.69,6.46,6.23,5.92,1.69,4.5,2.08,4.67,5.38,4.75,2.92,5.38,4.83,3.22,4.8,3.79,4.232649573,4.276923077,5.307692308,4.090811966,149.5,-18.5,64,0,0,1,0,0,NA,1,0,1,0,0,0,0,1,1,1,1,1,0,1,0,1,1,1,0,1,0,0,1,0,73.61
"160",274,"0",3,0,9,"3.P",NA,"COMPLETO","",6,9,NA,11,0,1,2,1,0,0,0,4.85,5.08,5.77,4.46,5.92,3.85,3.42,3.92,3.58,4.08,5.62,5.69,6.23,5,5,5.2,5.07,5.424615385,4.121794872,4.987179487,5.480769231,-10,126.5,131,1,0,1,1,1,NA,1,1,0,1,1,2,2,1,1,1,1,1,1,0,0,0,0,1,1,1,0,1,1,1,88.19
"161",275,"1",3,0,9,"3.P",NA,"Falta Gorila","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.38,4.77,4.38,4.08,6.15,4,4.67,3.92,3.33,2.85,4.62,4.69,5.54,4.83,6,5,5.64,5.212820513,3.875641026,4.461538462,5.266025641,127.5,62,391,1,0,0,1,1,0,NA,1,1,1,1,2,2,0,0,0,0,1,1,1,0,0,0,0,1,1,0,1,1,1,70.83
"162",276,"0",3,0,9,"3.P",NA,"COMPLETO","Tal vez le dijo Shelly",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.62,5.67,4.42,4.33,5.46,2.46,5.55,5.08,5.3,4.46,5.54,4.85,5.17,4.91,5.33,5,5.21,5.051048951,5.185757576,4.492521368,5.063811189,-55,25.5,60.5,1,1,0,1,1,1,NA,1,0,0,0,3,3,0,1,0,0,1,0,1,1,1,1,1,1,1,0,1,1,1,72.92
"163",277,"0",3,0,9,"3.P",NA,"COMPLETO","",4,8,NA,13,1,NA,2,1,1,1,1,5.92,5.54,6.5,6.33,5.42,1.31,2.75,4.75,2.55,4.23,4.36,3.54,4.69,6.42,4.22,4.6,4.36,4.693931624,3.727972028,5.169871795,4.71741453,196.5,21.5,61.5,0,0,1,0,NA,0,1,NA,1,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,1,0,1,0,81.94
"164",278,"0",3,0,9,"3.P",NA,"COMPLETO","",7,9,NA,12,1,NA,2,1,1,1,1,3.77,4.46,3.85,3.69,4.77,3.15,4.58,4.33,5.17,4.23,4.75,6.15,5.85,4.58,6,4.2,5.36,5.356666667,4.612820513,3.948717949,5.645833333,52.5,-68.5,87.5,1,1,0,1,1,1,0,1,0,0,0,3,3,0,0,0,0,0,0,1,1,1,0,1,1,1,0,1,0,1,94.44
"165",279,"0",3,0,9,"3.P",NA,"COMPLETO","",4,9,NA,12,1,NA,2,1,1,1,1,5.08,5.77,4.69,4.62,5.38,3.62,3.91,3.17,3.08,4.08,5,5.08,4.92,4.4,5.22,5.2,5.21,4.964444444,3.847202797,4.858974359,4.905555556,225,-8,23,1,0,1,1,NA,0,1,NA,1,0,0,2,2,1,1,0,1,1,0,0,0,0,0,1,1,0,0,1,1,1,21.53
"166",280,"0",3,0,9,"3.P",NA,"COMPLETO","",6,8,NA,12,1,NA,2,1,1,1,1,4.77,4.46,3.85,5.23,5.54,3.23,5.5,4,4.17,4.23,4.62,4.46,5.08,4.5,5.22,4.6,5,4.772136752,4.502564103,4.512820513,4.81517094,99,10.5,160.5,1,1,0,0,NA,NA,NA,NA,1,0,1,3,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,81.25
"167",281,"0",3,0,9,"3.P",NA,"COMPLETO","",8,NA,NA,12,0,1,1,1,0,1,0,4.92,5,4.92,4.69,5.83,3.62,4.25,5.08,5,5.08,3.77,4.08,4.69,4.75,3.89,4.4,4.07,4.361623932,4.635897436,4.831196581,4.352029915,-198.5,-65,-23,0,1,1,0,0,1,1,0,0,0,0,1,1,1,1,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,69.44
"168",282,"1",3,0,9,"3.P",NA,"COMPLETO","",12,8,NA,12,1,NA,2,1,1,1,1,4.77,5.38,4.85,4.69,5.85,3.15,4.17,3.83,3.83,4.15,5.15,5.38,5.85,5.17,5.33,5.2,5.29,5.386153846,4.228205128,4.782051282,5.432692308,94,-87.5,128.5,1,0,1,1,1,NA,NA,1,1,0,1,2,2,1,1,0,1,1,0,0,0,0,0,1,1,1,1,1,1,1,90.28
"169",283,"0",3,0,9,"3.P",NA,"COMPLETO","",8,8,NA,8,0,1,2,0,0,0,0,3.46,5,3.75,3.15,4.23,5.46,3.3,3.25,3.25,3.23,5.08,5,5.62,3.92,5.44,5,5.29,4.995299145,3.621538462,4.176282051,4.994123932,10,352.5,-94.5,1,0,0,1,1,0,0,NA,0,1,0,2,2,0,1,0,0,0,1,0,0,0,0,1,1,1,0,1,1,1,30.56
"170",284,"0",3,0,9,"3.P",NA,"Falta Gorila","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.15,5.08,5.85,5.08,5.54,2.92,5.58,3.67,4.67,4.77,3.92,4.46,5.23,5.25,5.33,3.4,4.64,4.735128205,4.520512821,4.935897436,5.068910256,112,63.5,187.5,1,1,1,1,NA,NA,1,1,1,1,1,3,3,1,1,1,1,1,0,1,0,1,1,0,0,1,1,1,0,1,90.28
"171",287,"0",3,0,9,"3.P",NA,"COMPLETO","",6,10,NA,11,1,NA,2,1,1,0,0,3.92,4.58,3.54,4.23,5.54,2.38,2.92,3.45,2.6,2,6.54,6.69,6.85,5,6.67,4.8,6,6.001025641,3.501934732,4.033119658,6.301282051,113,179,200.5,1,0,0,1,1,0,0,1,1,1,1,2,2,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,1,1,93.75
"172",288,"1",3,0,9,"3.P",NA,"COMPLETO","",7,NA,NA,10,1,NA,1,0,0,0,0,3.46,5.23,4.25,4.15,5.77,1,3.33,2.25,1.82,1.85,6.54,5.62,6.54,5.92,5.11,5.4,5.21,5.716324786,3.157226107,3.977564103,5.795405983,105,60.5,62,1,0,0,1,1,0,0,1,1,1,0,2,2,0,1,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,87.5
"173",289,"1",3,1,10,"3.1",NA,"Falta Gorila","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.85,5.15,5.92,5.92,6.08,1.85,4.25,4.67,5.55,5.54,3.38,3.31,4.62,5.58,3.22,3.6,3.36,4.065726496,4.677039627,5.128205128,4.18215812,20.5,-41.5,233.5,0,1,1,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,1,0,0,0,95.14
